type,source_id,source,unassigned_works
other,S4306402055,CGSPace A Repository of Agricultural Research Outputs (Consultative Group for International Agricultural Research),2189
article,S90791864,Monthly Weather Review,2182
paratext,S4306402304,The Knowledge Bank (The Ohio State University),2172
paratext,S4210225590,Justus Liebig s Annalen der Chemie,2167
article,S4306543457,体力科學,2164
paratext,S4306463671,Northwestern University Press eBooks,2156
paratext,S4377196308,ScholarsArchive  (Brigham Young University),2156
other,S4306400413,DSpace (Federal University of Santa Catarina),2151
other,S4377196304,CUNY Academic Works (City University of New York),2135
dataset,S7407060497,«Fungarium» der Vereinigten Herbarien Zürich Z+ZT,2131
paratext,S8802318,Annals of the New York Academy of Sciences,2130
dataset,S4363604149,AAAS Articles DO Group,2128
paratext,S4306464148,University of Arkansas Press eBooks,2121
article,S180907581,Physics Today,2119
report,S4306401814,Rivm Repository (Netherlands National Institute for Public Health and the Environment),2103
paratext,S6377669,Soft Matter,2099
dataset,S4363604159,Moscow News Archives,2094
article,S2764878188,JOURNAL OF THE MARINE ENGINEERING SOCIETY IN JAPAN,2093
other,S7407064237,The Seattle Public Library,2093
dataset,S4363604183,North China Standard Online,2085
